,index of inflection point,index of zero migration
0,0,39
1,174,218
2,404,433
3,546,605
4,739,762
5,816,864
6,897,958
7,1018,1079
8,1228,1279
9,1411,1443
10,1577,1629
11,1682,1725
12,1740,1792
13,1821,1864
14,1946,1986
15,1981,2030
16,2080,2130
17,2226,2249
18,2331,2373
19,2362,2411
20,3182,3229
21,3262,3308
22,3391,3439
23,3662,3710
24,3788,3829
25,3864,3908
26,3956,3998
27,4013,4064
28,4049,4087
29,4136,4165
30,4214,4256
31,4286,4333
32,4361,4407
33,4402,4430
34,4431,4454
35,4467,4509
36,4681,4720
37,4852,4884
38,4891,4925
39,4926,4962
40,5134,5162
41,5220,5259
42,5259,5301
43,5389,5432
44,5487,5549
45,5563,5637
46,5637,5713
47,5728,5789
48,5857,5893
49,5892,5940
50,5945,5988
51,6120,6156
52,6176,6221
53,6308,6348
54,6513,6552
55,6711,6761
56,6859,6903
57,6976,7020
58,7078,7117
59,7314,7359
60,7423,7458
61,7459,7505
62,7553,7590
63,7867,7873
64,8160,8200
65,8263,8309
66,8347,8395
67,8561,8602
68,8657,8706
69,8860,8899
70,9030,9085
71,9152,9181
72,9195,9235
73,9238,9291
74,9618,9649
75,9952,9983
76,10296,10341
77,10642,10680
78,10913,10957
79,11151,11196
80,11245,11291
81,11328,11366
82,11432,11457
83,11446,11483
84,11743,11765
85,11888,11923
86,11971,12017
87,12074,12123
88,12170,12220
89,12281,12332
90,12467,12521
91,12661,12702
92,12777,12817
93,12819,12860
94,12890,12930
95,13101,13121
96,13177,13221
97,13392,13418
98,13747,13807
99,13995,14044
100,14145,14187
101,14226,14287
102,14337,14407
103,14462,14510
104,14520,14562
105,14553,14606
106,14805,14853
107,14877,14920
108,14903,14936
109,15008,15070
110,15133,15177
111,15191,15228
112,15214,15257
113,15374,15400
114,15655,15691
115,15767,15793
116,15793,15837
117,15854,15900
118,16114,16146
119,16336,16382
120,16529,16570
121,16654,16696
122,16791,16834
123,16927,16966
124,17092,17122
125,17113,17169
126,17298,17332
127,17320,17389
128,17426,17485
129,17727,17760
130,17748,17813
131,17840,17879
132,17927,17965
133,17973,18023
134,18104,18152
135,18299,18339
136,18413,18463
137,18469,18520
138,18556,18597
139,18656,18690
140,18802,18859
141,19009,19053
142,19816,19864
143,19918,19971
144,20095,20135
145,20225,20262
146,20306,20365
147,20536,20568
148,20669,20669
