,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,581047.260302,-717960.237844,581064.04469,-717956.8485,580940.15323,-717981.866433,581187.93615,-717931.830567,246.189688224,0.0
1,2.0,1.0,581042.179274,-717935.076054,581049.552462,-717933.528596,580931.881176,-717958.225028,581167.223748,-717908.832164,234.692514594,0.000599837965535
2,3.0,1.0,581036.737413,-717910.099352,581043.449384,-717908.584231,580924.139861,-717935.51646,581162.758908,-717881.652003,239.704918789,0.000591501961907
3,4.0,1.0,581030.943698,-717885.302556,581037.160199,-717883.801819,580916.491036,-717912.932797,581157.829363,-717854.67084,244.176306603,0.000582310739118
4,5.0,1.0,581024.807108,-717860.680486,581030.676519,-717859.172656,580908.901913,-717890.456087,581152.451125,-717827.889225,248.141838126,0.00057230622118
5,6.0,1.0,581018.336622,-717836.22796,581024.358785,-717834.588891,580901.340427,-717868.071142,581147.377143,-717801.106639,252.393560787,0.000561532812576
6,7.0,1.0,581011.541218,-717811.939798,581017.230183,-717810.305769,580893.775372,-717845.765413,581140.684993,-717774.846126,254.981621547,0.00055003681253
7,8.0,1.0,581004.429877,-717787.810819,581009.897344,-717786.159388,580886.176472,-717823.528873,581133.618217,-717748.789903,257.194804319,0.000537865836496
8,9.0,1.0,580997.011576,-717763.835843,581002.352538,-717762.144811,580878.514416,-717801.353887,581126.190661,-717722.935735,259.069442047,0.000525068271803
9,10.0,1.0,580989.295295,-717740.009688,580994.58847,-717738.258071,580870.760866,-717779.235089,581118.416075,-717697.281054,260.642132341,0.000511692746997
10,11.0,1.0,580981.290013,-717716.327175,580986.598276,-717714.496114,580862.888441,-717757.169252,581110.308111,-717671.822976,261.949670657,0.000497787658294
11,12.0,1.0,580973.004708,-717692.783122,580978.375503,-717690.856737,580854.870695,-717735.155166,581101.880312,-717646.558309,263.028997172,0.000483400725625
12,13.0,1.0,580964.448361,-717669.372349,580969.967184,-717667.318779,580846.788259,-717713.153994,581093.14611,-717621.483564,263.803448481,0.000468578602135
13,14.0,1.0,580955.629949,-717646.089674,580961.356032,-717643.883952,580838.593241,-717691.172932,581084.118823,-717596.594972,264.333259337,0.000453366527434
14,15.0,1.0,580946.558452,-717622.929918,580952.506879,-717620.562599,580830.202104,-717669.236708,581074.811653,-717571.888491,264.718779138,0.000437808038958
15,16.0,1.0,580937.242848,-717599.887899,580943.414184,-717597.355232,580821.590678,-717647.350641,581065.23769,-717547.359822,264.998002078,0.000421944719088
16,17.0,1.0,580927.692117,-717576.958437,580934.072713,-717574.262973,580812.735519,-717625.521522,581055.409906,-717523.004424,265.208934653,0.000405816010814
17,18.0,1.0,580917.915238,-717554.136351,580924.477497,-717551.287508,580803.613832,-717603.757492,581045.341163,-717498.817524,265.389589798,0.0003894590525
18,19.0,1.0,580907.921189,-717531.416461,580914.623806,-717528.431023,580794.203401,-717582.067916,581035.044212,-717474.79413,265.577981655,0.000372908581155
19,20.0,1.0,580897.71895,-717508.793584,580904.50711,-717505.696154,580784.482521,-717560.463257,581024.531698,-717450.92905,265.812120931,0.00035619686067
20,21.0,1.0,580887.3175,-717486.262542,580894.123044,-717483.085925,580774.429924,-717538.954953,581013.816165,-717427.216898,266.130010844,0.000339353650048
21,22.0,1.0,580876.725817,-717463.818153,580883.467381,-717460.6037,580764.024705,-717517.555289,581002.910057,-717403.652112,266.569643659,0.000322406204412
22,23.0,1.0,580865.952881,-717441.455236,580872.53695,-717438.252655,580753.248173,-717496.276345,580991.825726,-717380.228965,267.16685326,0.000305379303851
23,24.0,1.0,580855.00767,-717419.168611,580861.342328,-717416.029374,580742.109221,-717475.117167,580980.575436,-717356.941581,267.926686521,0.0002882953099
24,25.0,1.0,580843.899164,-717396.953097,580849.904169,-717393.925042,580730.636969,-717454.066141,580969.171369,-717333.783943,268.831141651,0.00027117423706
25,26.0,1.0,580832.636341,-717374.803513,580838.243111,-717371.930196,580718.860588,-717433.110483,580957.625634,-717310.749909,269.861642966,0.000254033851233
26,27.0,1.0,580821.228181,-717352.714678,580826.379557,-717350.03489,580706.808843,-717412.236558,580945.95027,-717287.833223,270.999597207,0.000236889771123
27,28.0,1.0,580809.683662,-717330.681412,580814.333697,-717328.228741,580694.510137,-717391.429956,580934.157257,-717265.027526,272.226394843,0.000219755593962
28,29.0,1.0,580798.011764,-717308.698535,580802.125539,-717306.500971,580681.992557,-717370.675573,580922.25852,-717242.326369,273.523412013,0.000202643018319
29,30.0,1.0,580786.221465,-717286.760864,580789.77493,-717284.840457,580669.28392,-717349.95769,580910.265941,-717219.723224,274.872013087,0.000185561986179
30,31.0,1.0,580774.321745,-717264.863221,580777.301589,-717263.235771,580656.411814,-717329.260048,580898.191364,-717197.211493,276.253553813,0.000168520814691
31,32.0,1.0,580762.321582,-717243.000423,580764.725125,-717241.675227,580643.403643,-717308.565933,580886.046608,-717174.784521,277.649385044,0.000151526347233
32,33.0,1.0,580750.229955,-717221.16729,580752.065074,-717220.146926,580630.286674,-717287.858249,580873.843473,-717152.435602,279.040857027,0.000134584092898
33,34.0,1.0,580738.055844,-717199.358642,580739.340917,-717198.638799,580617.08808,-717267.119602,580861.593754,-717130.157995,280.409324261,0.00011769837278
34,35.0,1.0,580725.808227,-717177.569297,580726.572116,-717177.138651,580603.834984,-717246.332375,580849.309247,-717107.944926,281.736150931,0.000100872467449
35,36.0,1.0,580713.496083,-717155.794076,580713.778134,-717155.634206,580590.554503,-717225.47881,580837.001764,-717085.789602,283.002716899,8.41087561724e-05
36,37.0,1.0,580701.128392,-717134.027796,580700.978469,-717134.113151,580577.273796,-717204.541084,580824.683142,-717063.685218,284.190424294,6.74088617983e-05
37,38.0,1.0,580688.714131,-717112.265279,580688.19268,-717112.563177,580564.020103,-717183.501391,580812.365256,-717041.624964,285.280704656,5.0773787543e-05
38,39.0,1.0,580676.262282,-717090.501342,580675.440275,-717090.972107,580550.820794,-717162.34202,580800.059756,-717019.602194,286.254708864,3.4204057538e-05
39,40.0,1.0,580663.781821,-717068.730805,580662.739541,-717069.328624,580537.70341,-717141.045432,580787.775673,-716997.611816,287.090554814,1.76998472262e-05
40,41.0,1.0,580651.281729,-717046.948487,580650.108145,-717047.621982,580524.695635,-717119.593568,580775.520655,-716975.650396,287.764664331,8.74882714113e-07
41,42.0,1.0,580638.77125,-717025.149182,580637.563899,-717025.841542,580511.823373,-717097.947913,580763.304424,-716953.735171,288.253475779,-2.62837826769e-05
42,43.0,1.0,580626.266811,-717003.326975,580625.122326,-717003.981543,580499.10473,-717076.055147,580751.139921,-716931.90794,288.541446657,-6.47081880337e-05
43,44.0,1.0,580613.792654,-716981.475181,580612.791739,-716982.044825,580486.544174,-717053.895251,580739.039303,-716910.194399,288.632501627,-0.000103715209383
44,45.0,1.0,580601.373417,-716959.587076,580600.579308,-716960.035766,580474.146153,-717031.473511,580727.012463,-716888.598021,288.533402034,-0.000142817490987
45,46.0,1.0,580589.033737,-716937.655937,580588.492182,-716937.959015,580461.915364,-717008.797137,580715.069001,-716867.120894,288.250853565,-0.000182094097525
46,47.0,1.0,580576.798252,-716915.67504,580576.537434,-716915.819272,580449.856578,-716985.873875,580703.218291,-716845.764669,287.791501472,-0.00022161777789
47,48.0,1.0,580564.691599,-716893.637661,580564.722005,-716893.621087,580437.974581,-716962.711774,580691.46943,-716824.530399,287.161929596,-0.000261453454181
48,49.0,1.0,580552.738417,-716871.537077,580553.052653,-716871.368654,580426.274105,-716939.318951,580679.831201,-716803.418358,286.36866301,-0.000301656540807
49,50.0,1.0,580540.963341,-716849.366565,580541.5359,-716849.065609,580414.759773,-716915.70335,580668.312026,-716782.427867,285.418174155,-0.000342271096135
50,51.0,1.0,580529.39101,-716827.119399,580530.177983,-716826.714818,580403.436031,-716891.872516,580656.919935,-716761.557121,284.316892463,-0.000383327772047
51,52.0,1.0,580518.046061,-716804.788857,580518.984806,-716804.318178,580392.307085,-716867.833353,580645.662526,-716740.803004,283.071217604,-0.00042484156202
52,53.0,1.0,580506.953132,-716782.368216,580507.961887,-716781.876405,580381.37684,-716843.591894,580634.546935,-716720.160916,281.687536652,-0.000466809356294
53,54.0,1.0,580496.13686,-716759.85075,580497.114318,-716759.388829,580370.64883,-716819.15307,580623.579806,-716699.624589,280.172245663,-0.000509207310019
54,55.0,1.0,580485.621883,-716737.229737,580486.446714,-716736.853189,580360.126157,-716794.520472,580612.767272,-716679.185906,278.531776378,-0.000551988092989
55,56.0,1.0,580475.432837,-716714.498453,580475.963175,-716714.265425,580349.811422,-716769.696122,580602.114928,-716658.834727,276.772629106,-0.000595078063127
56,57.0,1.0,580465.594361,-716691.650175,580465.667243,-716691.619473,580339.706659,-716744.680243,580591.627827,-716638.558704,274.901413147,-0.00063837447193
57,58.0,1.0,580456.131092,-716668.678178,580455.561897,-716668.907053,580329.813262,-716719.471025,580581.310532,-716618.343082,272.924959905,-0.000681742830314
58,59.0,1.0,580447.067667,-716645.575739,580445.659358,-716646.113705,580320.13192,-716694.064392,580571.186795,-716598.163018,270.871607121,-0.000725014595765
59,60.0,1.0,580438.428725,-716622.336135,580436.227397,-716623.130756,580311.126833,-716668.288784,580561.32796,-716577.972729,268.324896937,-0.000766527337924
60,61.0,1.0,580430.23806,-716598.952945,580426.962808,-716600.064977,580302.128826,-716642.4493,580551.796791,-716557.680654,266.114262991,-0.000776582430999
61,62.0,1.0,580422.50161,-716575.426217,580418.019417,-716576.853752,580293.395408,-716616.545303,580542.643425,-716537.162202,264.085531244,-0.00075651394682
62,63.0,1.0,580415.208251,-716551.76217,580409.44012,-716553.482614,580284.94271,-716590.616088,580533.93753,-716516.349139,262.326566779,-0.000734814365837
63,64.0,1.0,580408.346173,-716527.967276,580401.268755,-716529.940753,580276.770631,-716564.65598,580525.766878,-716495.225525,260.92485419,-0.000712774230531
64,65.0,1.0,580401.903567,-716504.048002,580393.550229,-716506.221415,580268.878996,-716538.65899,580518.221462,-716473.78384,259.967563271,-0.000690492455154
65,66.0,1.0,580395.868625,-716480.010819,580386.330462,-716482.32164,580261.268192,-716512.62061,580511.392732,-716452.02267,259.54170995,-0.000668058996882
66,67.0,1.0,580390.22954,-716455.862194,580379.656361,-716458.241951,580253.939133,-716486.537742,580505.373588,-716429.946161,259.73442168,-0.000645554705816
67,68.0,1.0,580384.974501,-716431.608598,580373.342499,-716434.03472,580246.89322,-716460.408633,580499.791779,-716407.660807,260.153218806,-0.000623051359117
