,index of inflection point,index of zero migration
0,10,44
1,97,134
2,153,192
3,223,260
4,322,359
5,427,458
6,592,595
7,728,751
8,838,876
9,996,1023
10,1314,1338
11,1419,1488
12,1546,1579
13,1702,1727
14,1755,1796
15,1837,1866
16,1919,1934
17,1926,1971
18,2069,2087
19,2228,2249
20,2378,2408
21,2473,2517
22,2634,2648
23,2782,2818
24,2813,2869
25,2863,2894
26,2905,2960
27,2950,2988
28,3086,3133
29,3182,3210
30,3322,3360
31,3519,3549
32,3758,3774
33,3840,3882
34,3917,3965
35,4011,4040
36,4181,4204
37,4275,4312
38,4476,4503
39,4548,4592
40,4620,4665
41,4799,4825
42,4894,4931
43,4942,4977
44,5022,5062
45,5116,5163
46,5201,5252
47,5215,5258
48,5305,5345
49,5386,5429
50,5413,5443
51,5499,5531
52,5585,5626
53,5686,5721
54,6054,6091
55,6140,6173
56,6167,6209
57,6279,6298
58,6367,6400
59,6417,6449
60,6520,6565
61,6593,6619
62,6630,6670
63,6673,6721
64,6746,6791
65,6817,6865
66,7051,7064
67,7181,7215
68,7224,7264
69,7388,7403
70,7589,7607
71,7762,7791
72,8039,8037
73,8178,8218
74,8326,8353
75,8504,8534
76,8726,8741
77,8853,8886
78,8962,8991
79,9057,9085
80,9596,9610
81,9677,9717
82,9751,9788
83,9882,9906
84,9921,9959
85,9994,10001
86,10314,10345
87,10535,10553
88,10599,10613
89,11310,11334
90,11360,11405
91,11521,11542
92,11632,11672
93,11698,11735
94,11797,11824
95,11813,11850
96,11883,11913
97,12160,12181
98,12480,12506
