,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,415296.808952,-739916.02586,415318.596532,-739926.800095,415210.691441,-739873.439658,415426.501624,-739980.160533,255.926283881,0.0
1,2.0,1.0,415307.233915,-739894.944577,415328.166727,-739905.351296,415226.718524,-739854.916462,415429.614931,-739955.786129,240.13687451,-0.000177226815114
2,3.0,1.0,415317.811488,-739873.779869,415336.931018,-739883.379314,415237.972633,-739833.694747,415435.889403,-739933.06388,233.323573643,-0.000153276528415
3,4.0,1.0,415328.528191,-739852.532066,415344.011966,-739860.372092,415245.570908,-739810.52763,415442.453024,-739910.216554,231.199683917,-0.000130128682279
4,5.0,1.0,415339.370541,-739831.201498,415351.621413,-739837.448768,415253.590924,-739787.458621,415449.651902,-739887.438914,229.345571278,-0.000107709878629
5,6.0,1.0,415350.325057,-739809.788494,415359.719672,-739814.607024,415262.002796,-739764.487712,415457.436547,-739864.726336,227.73518986,-8.59501883859e-05
6,7.0,1.0,415361.378256,-739788.293384,415368.26744,-739791.842837,415270.776203,-739741.613297,415465.758676,-739842.072376,226.344821486,-6.47830196555e-05
7,8.0,1.0,415372.516658,-739766.716497,415377.226131,-739769.150849,415279.88042,-739718.832319,415474.571842,-739819.469379,225.153719766,-4.41449627908e-05
8,9.0,1.0,415383.726779,-739745.058162,415386.55815,-739746.524709,415289.284342,-739696.140403,415483.831957,-739796.909016,224.144623396,-2.39756392166e-05
9,10.0,1.0,415394.995138,-739723.318709,415396.227081,-739723.957352,415298.956501,-739673.531993,415493.497662,-739774.382711,223.304093163,-4.21753520249e-06
10,11.0,1.0,415406.308254,-739701.498468,415406.197798,-739701.441226,415308.86508,-739651.000486,415503.530517,-739751.881966,222.622647257,1.51841506098e-05
11,12.0,1.0,415417.652645,-739679.597767,415416.436471,-739678.968456,415318.97792,-739628.538362,415513.895021,-739729.398549,222.094690366,3.42816611945e-05
12,13.0,1.0,415429.014828,-739657.616936,415426.910486,-739656.53094,415329.262529,-739606.137315,415524.558444,-739706.924564,221.71825093,5.3124822078e-05
13,14.0,1.0,415440.381321,-739635.556306,415437.5883,-739634.120399,415339.686084,-739583.788383,415535.490515,-739684.452416,221.494556295,7.17611727412e-05
14,15.0,1.0,415451.738644,-739613.416204,415448.439213,-739611.728383,415350.215432,-739561.482074,415546.662994,-739661.974691,221.427486229,9.02360831634e-05
15,16.0,1.0,415463.073314,-739591.196961,415459.433123,-739589.346239,415360.817092,-739539.208496,415558.049155,-739639.483982,221.522951184,0.00010859285262
16,17.0,1.0,415474.371849,-739568.898907,415470.540243,-739566.965079,415371.45725,-739516.957478,415569.623236,-739616.97268,221.788243017,0.000126872795052
17,18.0,1.0,415485.620767,-739546.522369,415481.730824,-739544.575738,415382.101758,-739494.718705,415581.35989,-739594.432772,222.231403208,0.000145115302069
18,19.0,1.0,415496.806587,-739524.067679,415492.974897,-739522.168745,415392.716123,-739472.48183,415593.233671,-739571.855659,222.860647602,0.000163357884489
19,20.0,1.0,415507.915827,-739501.535165,415504.242045,-739499.734314,415403.265502,-739450.236612,415605.218588,-739549.232016,223.683878244,0.000181636193335
20,21.0,1.0,415518.935004,-739478.925158,415515.501216,-739477.262372,415413.71469,-739427.97303,415617.287741,-739526.551714,224.708303011,0.000199984019362
21,22.0,1.0,415529.850638,-739456.237985,415526.720588,-739454.742608,415424.028113,-739405.681413,415629.413063,-739503.803802,225.94017342,0.000218433254592
22,23.0,1.0,415540.649246,-739433.473977,415537.867484,-739432.164562,415434.169807,-739383.352565,415641.565161,-739480.976558,227.384641438,0.000237013848307
23,24.0,1.0,415551.317346,-739410.633464,415548.908336,-739409.517743,415444.103416,-739360.97789,415653.713255,-739458.057596,229.04572803,0.000255753708873
24,25.0,1.0,415561.841456,-739387.716774,415559.808694,-739386.791776,415453.792174,-739338.549522,415665.825213,-739435.03403,230.926390348,0.000274678596932
25,26.0,1.0,415572.208095,-739364.724238,415570.533278,-739363.976567,415463.198897,-739316.060455,415677.86766,-739411.89268,233.028671076,0.000293811969114
26,27.0,1.0,415582.403781,-739341.656184,415581.046065,-739341.062491,415472.285972,-739293.504675,415689.806157,-739388.620308,235.353912428,0.00031317480256
27,28.0,1.0,415592.415032,-739318.512942,415591.311428,-739318.041029,415481.017274,-739270.878119,415701.605582,-739365.203939,237.901123151,0.000332785367945
28,29.0,1.0,415602.228366,-739295.294841,415601.309732,-739294.91137,415489.383283,-739248.189202,415713.23618,-739341.633538,240.646511507,0.000352658985294
29,30.0,1.0,415611.830301,-739272.002212,415611.035292,-739271.678838,415497.39467,-739225.454894,415724.675913,-739317.902782,243.553237723,0.000372807721717
30,31.0,1.0,415621.207356,-739248.635383,415620.483456,-739248.349029,415505.063202,-739202.69201,415735.903709,-739294.006047,246.584809403,0.000393240073431
31,32.0,1.0,415630.346048,-739225.194684,415629.672251,-739224.93602,415512.445619,-739179.933867,415746.898883,-739269.938173,249.657725392,0.00041396058745
32,33.0,1.0,415639.232896,-739201.680444,415638.661415,-739201.468017,415519.681792,-739157.241596,415757.641037,-739245.694438,252.601596948,0.000434969472063
33,34.0,1.0,415647.854417,-739178.092994,415647.357202,-739177.914469,415526.60443,-739134.558394,415768.109973,-739221.270544,255.573409448,0.000456262151608
34,35.0,1.0,415656.197131,-739154.432661,415655.75783,-739154.280708,415533.230041,-739111.898802,415778.28562,-739196.662615,258.534439137,0.000477828810876
35,36.0,1.0,415664.247555,-739130.699776,415663.86177,-739130.571594,415539.575569,-739089.275993,415788.147971,-739171.867195,261.446042789,0.000499653900479
36,37.0,1.0,415671.992207,-739106.894668,415671.667698,-739106.791425,415545.658363,-739066.701588,415797.677032,-739146.881263,264.269632694,0.000521715638768
37,38.0,1.0,415679.417606,-739083.017667,415679.174459,-739082.943856,415551.496138,-739044.18547,415806.85278,-739121.702243,266.96666821,0.000543985498512
38,39.0,1.0,415686.510269,-739059.069102,415686.381025,-739059.031814,415557.106924,-739021.7356,415815.655127,-739096.328029,269.498662614,0.000566427700184
39,40.0,1.0,415693.256715,-739035.049302,415693.286461,-739035.057422,415562.509021,-738999.35783,415824.0639,-739070.757013,271.827204578,0.000588998731239
