,index of inflection point,index of zero migration
0,7,11
1,34,54
2,76,84
3,103,125
4,160,166
5,285,284
6,390,403
7,415,432
8,443,460
9,479,492
10,555,565
11,580,599
12,624,635
13,669,683
14,697,710
15,732,751
16,792,797
17,899,909
18,1045,1052
19,1351,1363
20,1395,1402
21,1428,1441
22,1497,1493
23,1563,1572
24,1636,1644
25,1695,1701
26,1719,1735
27,1769,1784
28,1936,1949
29,1979,1993
30,2001,2018
31,2043,2054
32,2118,2129
33,2165,2184
34,2275,2295
35,2359,2366
36,2395,2406
37,2424,2443
38,2465,2479
39,2480,2499
40,2578,2592
41,2649,2651
42,2698,2712
43,2782,2792
44,2902,2916
45,2966,2979
46,3001,3011
47,3039,3053
48,3088,3105
49,3189,3190
50,3307,3322
51,3345,3367
52,3380,3393
53,3441,3458
54,3506,3517
55,3610,3622
56,3674,3680
57,3774,3782
58,3856,3867
59,3887,3904
60,3920,3936
61,3992,4000
62,4023,4038
63,4051,4065
64,4161,4176
65,4241,4256
66,4290,4303
67,4342,4350
68,4425,4439
69,4536,4527
70,4637,4641
71,4699,4711
72,4753,4758
73,4777,4785
74,4811,4826
75,4955,4963
76,5024,5035
77,5064,5078
78,5110,5122
79,5220,5230
80,5312,5316
81,5361,5378
82,5437,5459
83,5483,5500
84,5546,5566
85,5628,5618
86,5652,5670
87,5688,5701
88,5810,5821
89,5971,5975
90,6024,6041
91,6084,6099
92,6190,6200
93,6210,6233
94,6262,6276
95,6365,6381
96,6424,6436
97,6470,6478
98,6544,6509
99,6604,6615
100,6628,6643
101,6672,6684
102,6787,6789
103,6875,6888
104,6931,6934
105,6996,7011
106,7051,7063
107,7105,7123
108,7171,7188
109,7251,7268
110,7278,7280
111,7311,7323
112,7341,7354
113,7382,7396
114,7405,7420
115,7438,7452
116,7541,7538
117,7630,7636
118,7769,7779
119,7861,7877
120,7920,7932
121,7992,8009
122,8057,8070
123,8082,8102
124,8125,8148
125,8199,8215
126,8242,8267
127,8300,8315
128,8384,8402
129,8442,8460
130,8495,8507
131,8599,8620
132,8676,8693
133,8741,8752
134,8803,8815
135,8834,8850
136,8871,8887
137,8946,8978
138,9028,9051
139,9073,9088
140,9161,9177
141,9241,9249
142,9306,9319
143,9458,9471
144,9551,9571
145,9592,9611
146,9642,9661
147,9735,9747
148,9829,9840
149,9863,9876
150,9878,9934
151,9991,10012
152,10038,10060
153,10075,10102
154,10166,10193
155,10222,10234
156,10387,10370
157,10575,10603
158,10718,10732
159,10831,10845
160,10912,10929
161,10973,11002
162,11014,11085
163,11160,11142
164,11373,11344
165,11663,11691
166,12021,12046
167,12194,12157
168,12291,12335
169,12463,12460
170,12619,12633
171,12668,12684
172,12823,12845
173,13141,13161
174,13349,13373
175,13470,13488
176,13548,13571
177,13582,13613
178,13649,13675
179,13744,13770
180,13853,13881
181,13904,13935
182,13933,13966
183,14066,14056
184,14164,14192
185,14213,14234
186,14275,14291
187,14428,14475
188,14518,14549
189,14594,14614
190,14632,14652
191,14651,14681
192,14733,14730
193,14885,14922
194,14972,14995
195,15077,15106
196,15166,15191
197,15263,15300
198,15361,15387
199,15439,15458
200,15472,15504
201,15530,15563
202,15632,15656
203,15833,15897
204,16037,16071
205,16146,16169
206,16245,16277
207,16386,16410
208,16501,16523
209,16562,16584
210,16602,16636
211,16647,16697
212,16728,16747
213,16778,16807
214,16823,16844
215,16867,16890
216,17096,17120
217,17279,17315
218,17393,17414
219,17606,17553
220,17800,17824
