,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,515332.587641,-568222.994876,515307.152196,-568219.298937,515253.658538,-568211.525952,515360.645853,-568227.071922,118.57447045,0.0
1,2.0,1.0,515335.865322,-568200.437889,515315.036884,-568197.384071,515258.248538,-568189.057893,515371.82523,-568205.710248,124.291929606,-0.000105670675117
2,3.0,1.0,515339.286529,-568177.305389,515322.348043,-568174.802977,515262.019482,-568165.890324,515382.676603,-568183.715631,128.956875061,1.27475853557e-05
3,4.0,1.0,515342.776666,-568153.655923,515329.339271,-568151.693493,515266.075314,-568142.454265,515392.603228,-568160.93272,132.469576789,0.000119980204828
4,5.0,1.0,515346.261133,-568129.54804,515335.92985,-568128.084134,515270.379399,-568118.795865,515401.4803,-568137.372403,134.834088392,0.000219725155916
5,6.0,1.0,515349.665331,-568105.040287,515342.045445,-568104.013091,515274.865013,-568094.956855,515409.225878,-568113.069326,136.111721493,0.000314974393334
6,7.0,1.0,515352.914663,-568080.191209,515347.613374,-568079.526259,515279.43868,-568070.974983,515415.788068,-568088.077535,136.401408765,0.000408225343811
7,8.0,1.0,515355.934531,-568055.059356,515352.561707,-568054.676187,515283.984915,-568046.885535,515421.138499,-568062.466838,135.828075008,0.000501631115409
8,9.0,1.0,515358.650334,-568029.703273,515356.819949,-568029.521488,515288.371932,-568022.723556,515425.267966,-568036.319419,134.534026619,0.000597106340514
9,10.0,1.0,515360.987477,-568004.181508,515360.320506,-568004.126469,515292.458085,-567998.526367,515428.182927,-568009.72657,132.67163055,0.000696398840353
10,11.0,1.0,515362.871358,-567978.552608,515363.000578,-567978.560768,515296.098808,-567974.336043,515429.902349,-567982.785494,130.39657288,0.000801132347518
11,12.0,1.0,515364.227382,-567952.875121,515364.804193,-567952.89882,515299.153693,-567950.201467,515430.454693,-567955.596173,127.86148609,0.000912821549554
12,13.0,1.0,515364.980948,-567927.207593,515365.684032,-567927.218977,515301.493121,-567926.179636,515429.874943,-567928.258317,125.210126275,0.00103285729197
13,14.0,1.0,515365.057459,-567901.608571,515366.194092,-567901.595248,515304.186534,-567902.322074,515428.201649,-567900.868422,121.414444656,0.00116245674728
14,15.0,1.0,515364.382316,-567876.136604,515366.015663,-567876.066565,515306.557332,-567878.616163,515425.473995,-567873.516968,117.140037524,0.00130257079347
15,16.0,1.0,515362.880921,-567850.850237,515364.845704,-567850.697843,515307.962451,-567855.109884,515421.728957,-567846.285801,113.023748223,0.0014537395493
16,17.0,1.0,515360.478675,-567825.808019,515362.626572,-567825.558636,515308.254465,-567831.871544,515416.998679,-567819.245728,109.220982288,0.00161588811152
17,18.0,1.0,515357.10098,-567801.068496,515359.305383,-567800.718188,515307.302532,-567808.982096,515411.308233,-567792.454281,105.873729819,0.00178806038348
18,19.0,1.0,515352.673237,-567776.690215,515353.483949,-567776.522827,515304.992819,-567786.534828,515401.975078,-567766.510826,100.319338239,0.00196810233067
19,20.0,1.0,515347.120849,-567752.731724,515347.404364,-567752.65819,515301.225663,-567764.635423,515393.583065,-567740.680957,97.3440554857,0.00215232991449
20,21.0,1.0,515340.369216,-567729.25157,515340.350298,-567729.257592,515296.300864,-567743.279032,515384.399733,-567715.236152,94.8862239654,0.00233525209028
21,22.0,1.0,515332.343741,-567706.3083,515332.74589,-567706.154016,515291.051967,-567722.149807,515374.439813,-567690.158225,92.0355417398,0.00247131624708
22,23.0,1.0,515322.989201,-567683.94959,515323.797356,-567683.583894,515283.834443,-567701.66741,515363.760269,-567665.500378,90.5165602606,0.0023641368905
23,24.0,1.0,515312.365611,-567662.158464,515313.445344,-567661.596377,515274.472558,-567681.884818,515352.418131,-567641.307936,90.5176690408,0.00215793523653
24,25.0,1.0,515300.57541,-567640.894143,515301.744908,-567640.208609,515263.071229,-567662.878293,515340.418586,-567617.538925,91.9867708351,0.00194417061344
25,26.0,1.0,515287.721106,-567620.115812,515288.819275,-567619.403398,515249.881482,-567644.663463,515327.757069,-567594.143333,94.7126780247,0.00173014723985
26,27.0,1.0,515273.905206,-567599.782653,515274.791929,-567599.155174,515235.143899,-567627.211623,515314.439959,-567571.098725,98.4751586869,0.00152084268909
27,28.0,1.0,515259.230216,-567579.85385,515259.786062,-567579.430126,515219.088816,-567610.453881,515300.483309,-567548.406371,103.046488041,0.00131927156457
28,29.0,1.0,515243.798644,-567560.288588,515243.924339,-567560.186507,515201.937163,-567594.285814,515285.911515,-567526.087199,108.192621368,0.00112684899696
29,30.0,1.0,515227.712996,-567541.046051,515227.328381,-567541.375491,515183.900822,-567578.573301,515270.755941,-567504.177682,113.675283154,0.000943772138893
30,31.0,1.0,515211.075779,-567522.08542,515210.118347,-567522.942315,515165.183247,-567563.158926,515255.053447,-567482.725705,119.253979126,0.000769357829066
31,32.0,1.0,515193.9895,-567503.365882,515192.412753,-567504.827473,515145.980628,-567547.868487,515238.844879,-567461.786458,124.68748658,0.000602311468033
32,33.0,1.0,515176.556666,-567484.846619,515174.328524,-567486.967861,515126.483546,-567532.517375,515222.173502,-567441.418347,129.734782896,0.000440924893952
33,34.0,1.0,515158.879784,-567466.486815,515155.981194,-567469.297843,515106.878968,-567516.916765,515205.08342,-567421.678921,134.155549724,0.000283212622376
34,35.0,1.0,515141.061361,-567448.245654,515137.48521,-567451.75023,515087.352426,-567500.879635,515187.617994,-567402.620824,137.710420516,0.000127000353516
35,36.0,1.0,515123.203903,-567430.082319,515118.956332,-567434.255189,515068.090284,-567484.22667,515169.822381,-567384.283709,140.166785709,-3.00199898659e-05
36,37.0,1.0,515105.409919,-567411.955995,515100.557956,-567416.692026,515049.256762,-567466.767452,515151.859151,-567366.6166,141.431739366,-0.000226017414315
37,38.0,1.0,515087.79783,-567393.809559,515082.495769,-567398.883842,515030.926086,-567448.238081,515134.065452,-567349.529604,141.557417973,-0.000562331678171
38,39.0,1.0,515070.544746,-567375.525772,515064.977864,-567380.657486,515013.183919,-567428.402665,515116.771809,-567332.912308,140.606771265,-0.00094368238283
39,40.0,1.0,515053.841301,-567356.973535,515048.227896,-567361.862903,514996.230137,-567407.153807,515100.225655,-567316.571999,138.645832745,-0.00134135754051
40,41.0,1.0,515037.878128,-567338.021753,515032.445917,-567342.402585,514980.2368,-567384.506863,515084.655033,-567300.298306,135.840239498,-0.00175246737223
41,42.0,1.0,515022.845862,-567318.53933,515017.771368,-567322.245706,514965.252404,-567360.605208,515070.290332,-567283.886205,132.534673051,-0.00216737727542
42,43.0,1.0,515008.935135,-567298.395169,515004.336103,-567301.362881,514951.303878,-567335.584073,515057.368328,-567267.141688,129.091367113,-0.00256764664517
43,44.0,1.0,514996.336581,-567277.458174,514992.266597,-567279.711448,514938.39689,-567309.535445,515046.136305,-567249.887451,125.869921057,-0.00292545483096
44,45.0,1.0,514985.240835,-567255.597249,514983.370557,-567256.455341,514929.970394,-567280.955576,515036.770721,-567231.955106,119.403187083,-0.00315270508984
45,46.0,1.0,514975.817669,-567232.735613,514974.877819,-567233.080379,514920.684632,-567252.960082,515029.071007,-567213.200676,116.33833207,-0.0031177936215
46,47.0,1.0,514968.152999,-567209.014849,514968.050688,-567209.043574,514913.247273,-567224.430487,515022.854104,-567193.656662,113.926458864,-0.00306605810723
47,48.0,1.0,514962.311665,-567184.63141,514962.232645,-567184.64713,514907.697034,-567195.496507,515016.768256,-567173.797754,110.770214613,-0.00306093107128
48,49.0,1.0,514958.35851,-567159.781748,514957.878678,-567159.838915,514904.018885,-567166.255743,515011.738471,-567153.422088,107.786213133,-0.00309970508056
49,50.0,1.0,514956.358374,-567134.662317,514955.373945,-567134.701106,514902.215345,-567136.795671,515008.532544,-567132.60654,105.657515804,-0.00317928014439
50,51.0,1.0,514956.376099,-567109.469568,514956.178133,-567109.461225,514905.013009,-567107.305027,515007.343256,-567111.617424,101.796098391,-0.00329549827911
51,52.0,1.0,514958.476528,-567084.399955,514958.667492,-567084.424289,514908.989711,-567078.093964,515008.345273,-567090.754614,99.7152572455,-0.00344215962622
52,53.0,1.0,514962.724501,-567059.649929,514963.338949,-567059.784253,514914.989338,-567049.214606,515011.68856,-567070.3539,98.7048850806,-0.00360981582096
53,54.0,1.0,514969.18486,-567035.415944,514969.52037,-567035.522423,514923.007957,-567020.761051,515016.032783,-567050.283795,97.3866790652,-0.0037246002246
