,index of inflection point,index of zero migration
0,37,40
1,287,301
2,416,467
3,544,577
4,682,689
5,776,786
6,797,833
7,881,914
8,1517,1573
9,1534,1599
10,1674,1707
11,1700,1735
12,1742,1852
13,1866,1892
14,1912,1939
15,1982,2002
16,2040,2060
17,2115,2147
18,2248,2266
19,2314,2337
20,2516,2503
21,2707,2735
22,2931,2913
23,3178,3183
24,3281,3306
25,3369,3389
26,3551,3571
27,3701,3725
28,3792,3812
29,3876,3909
30,4025,4058
31,4093,4114
32,4149,4182
33,4341,4374
34,4553,4587
35,4697,4726
36,4896,4915
37,5030,5055
38,5148,5174
39,5281,5313
40,5458,5492
41,5573,5601
42,5594,5622
43,5664,5694
44,5747,5771
45,5833,5853
46,5950,5976
47,6003,6033
48,6044,6069
49,6102,6128
50,6206,6231
51,6297,6314
52,6336,6362
53,6492,6550
54,6605,6633
55,6680,6708
56,6884,6911
57,6981,6987
58,7022,7055
59,7059,7081
60,7080,7109
61,7178,7204
62,7230,7248
63,7260,7278
64,7319,7352
65,7439,7461
66,7561,7579
67,7641,7665
68,7678,7701
69,7739,7775
70,7941,7969
71,8019,8035
72,8052,8076
73,8134,8152
74,8253,8273
75,8331,8347
76,8358,8383
77,8440,8448
78,8690,8705
79,8823,8841
80,8959,8987
81,9123,9146
82,9250,9249
83,9268,9290
84,9297,9319
85,9368,9394
86,9385,9409
87,9417,9439
88,9462,9470
89,9473,9533
90,9605,9630
91,9709,9738
92,9752,9783
93,9831,9866
94,9946,9958
95,9975,10001
96,10073,10114
97,10269,10295
98,10367,10391
99,10394,10430
100,10473,10512
101,10545,10595
102,10609,10674
103,10814,10855
104,10898,10925
105,10932,10992
106,11052,11079
107,11190,11221
108,11266,11310
109,11341,11358
110,11362,11386
111,11466,11488
112,11642,11652
113,11731,11761
114,11829,11850
115,11859,11923
116,11906,11953
117,11995,12031
118,12446,12480
119,12536,12571
120,12728,12777
121,12850,12868
122,12923,12961
123,13007,13040
124,13111,13138
125,13198,13224
126,13327,13362
127,13531,13545
128,13673,13697
129,13727,13787
130,13810,13849
131,13844,13894
132,14108,14154
133,14298,14333
134,14473,14514
135,14495,14538
136,14591,14609
137,14948,15005
138,15017,15079
139,15067,15122
140,15133,15200
141,15168,15263
142,15481,15510
143,15719,15765
144,15796,15836
145,15896,15933
146,15985,16006
147,16108,16142
148,16197,16259
149,16331,16364
150,16521,16602
151,16760,16808
152,17174,17220
153,17286,17329
154,17548,17561
155,17695,17683
156,17719,17749
157,17877,17897
158,17989,17956
159,18129,18185
160,18288,18267
161,18366,18398
162,18405,18444
