,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,304783.459121,-1852949.87497,304785.537837,-1852945.95814,304757.394829,-1852998.9868,304813.680845,-1852892.92947,129.534247979,0.0
1,2.0,1.0,304762.990145,-1852939.01182,304766.334672,-1852932.54872,304742.714584,-1852978.19316,304789.954761,-1852886.90427,110.33174594,0.000873378207424
2,3.0,1.0,304742.088939,-1852928.46673,304742.841269,-1852926.94016,304715.655677,-1852982.10288,304770.026862,-1852871.77744,130.700955593,0.000780548229131
3,4.0,1.0,304720.784854,-1852918.21198,304719.395156,-1852921.16214,304689.299322,-1852985.05195,304749.490991,-1852857.27233,148.644233279,0.000693024204846
4,5.0,1.0,304699.107244,-1852908.21984,304696.0358,-1852915.01601,304663.660929,-1852986.65176,304728.410672,-1852843.38026,163.928485635,0.000610473706533
5,6.0,1.0,304677.085463,-1852898.46259,304672.750705,-1852908.42165,304638.654452,-1852986.7574,304706.846959,-1852830.08589,176.597414908,0.000532508310852
6,7.0,1.0,304654.748863,-1852888.91251,304649.517627,-1852901.34275,304614.177151,-1852985.31734,304684.858104,-1852817.36816,186.781773589,0.000458706405017
7,8.0,1.0,304632.126799,-1852879.54186,304626.315506,-1852893.7657,304590.131529,-1852982.33037,304662.499484,-1852805.20104,194.646592905,0.000388629993653
8,9.0,1.0,304609.248624,-1852870.32293,304603.127676,-1852885.69162,304566.431696,-1852977.82917,304639.823656,-1852793.55407,200.372594695,0.000321836623801
9,10.0,1.0,304586.143691,-1852861.22799,304579.942664,-1852877.13264,304543.004824,-1852971.87237,304616.880503,-1852782.39291,204.148461022,0.000257887600416
10,11.0,1.0,304562.841353,-1852852.22931,304556.754101,-1852868.10975,304519.790775,-1852964.53977,304593.717426,-1852771.67973,206.167195365,0.000196353259529
11,12.0,1.0,304539.370964,-1852843.29918,304533.560257,-1852858.65122,304496.740946,-1852955.92883,304570.379567,-1852761.37361,206.624235283,0.000136816198081
12,13.0,1.0,304515.761877,-1852834.40986,304510.36341,-1852848.7914,304473.816767,-1852946.15187,304546.910053,-1852751.43094,205.716394944,7.88729198949e-05
13,14.0,1.0,304492.043446,-1852825.53363,304487.169128,-1852838.56966,304450.988007,-1852935.33356,304523.350249,-1852741.80575,203.641238889,2.21345622414e-05
