,index of inflection point,index of zero migration
0,410,502
1,503,560
2,546,600
3,765,786
4,1025,1046
5,1152,1177
6,1194,1250
7,1396,1441
8,1466,1518
9,1513,1572
10,1640,1680
11,1665,1716
12,1741,1784
13,2037,2057
14,2311,2355
15,2557,2574
16,2816,2870
17,2954,3000
18,3220,3266
19,3310,3365
20,3372,3461
21,3514,3567
22,3615,3677
23,3732,3770
24,4144,4147
25,4215,4270
26,4308,4356
27,4576,4618
28,4743,4774
29,4927,4976
30,5096,5134
31,5252,5293
32,5376,5428
33,5549,5572
34,5831,5874
35,6071,6108
36,6158,6209
37,6295,6352
38,6563,6599
39,6654,6694
40,6689,6734
41,6834,6871
42,6937,7009
43,7185,7223
44,7552,7583
45,7789,7824
46,7974,8042
47,8139,8189
48,8312,8353
49,8563,8559
50,8638,8679
51,8686,8743
52,8767,8814
53,8880,8929
54,8998,9038
55,9192,9237
56,9385,9437
57,9549,9580
58,9581,9644
59,9664,9714
60,9956,9992
61,10154,10156
62,10250,10304
63,10296,10348
64,10529,10566
65,10619,10663
66,10722,10775
67,10976,11005
68,11082,11103
69,11094,11152
70,11358,11407
71,11527,11582
72,11578,11627
73,11632,11682
74,11976,12004
75,12111,12148
76,12396,12441
77,12688,12716
78,12905,12931
79,12930,13036
80,13182,13214
81,13466,13502
82,13556,13601
83,13643,13696
84,13734,13795
85,13874,13928
86,14053,14040
87,14234,14196
88,14363,14362
89,14750,14786
90,14866,14915
91,15018,15064
92,15294,15337
93,15415,15448
94,15487,15537
95,15584,15679
96,15779,15811
97,16123,16168
98,16261,16309
99,16366,16421
100,16434,16486
101,16508,16571
102,16666,16682
103,16725,16782
104,16950,16994
105,17187,17172
106,17279,17323
107,17304,17336
108,17476,17499
109,17532,17607
110,17617,17662
111,17915,17942
112,18034,18074
113,18077,18123
114,18146,18190
115,18232,18307
116,18322,18367
117,18344,18399
118,18397,18438
