,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,706662.565346,-864694.841107,706639.330266,-864657.147225,706575.466415,-864553.541963,706703.194118,-864760.752487,244.928647918,0.0
1,2.0,1.0,706683.715437,-864681.803872,706665.638415,-864651.47091,706608.562696,-864555.698742,706722.714134,-864747.243078,224.423929103,-0.00120522200627
2,3.0,1.0,706705.240015,-864669.409007,706691.91025,-864645.44833,706641.993624,-864555.721603,706741.826876,-864735.175057,206.721579194,-0.00119091290592
3,4.0,1.0,706727.120062,-864657.657081,706717.388261,-864638.88489,706673.297988,-864553.836801,706761.478535,-864723.932978,192.867918154,-0.00117677473882
4,5.0,1.0,706749.33656,-864646.548661,706740.631668,-864628.491281,706699.645443,-864543.469685,706781.617892,-864713.512877,189.990573867,-0.00116293226752
5,6.0,1.0,706771.870491,-864636.084314,706764.162158,-864618.844252,706726.128095,-864533.779221,706802.19622,-864703.909284,187.507199304,-0.00114949808798
6,7.0,1.0,706794.702835,-864626.264607,706787.776692,-864609.511325,706752.737791,-864524.75758,706822.815593,-864694.26507,184.471506838,-0.00113657297773
7,8.0,1.0,706817.814575,-864617.090106,706811.65202,-864600.908913,706779.466149,-864516.39757,706843.837891,-864685.420256,181.807938507,-0.00112424642753
8,9.0,1.0,706841.186692,-864608.56138,706835.767115,-864593.044937,706806.304568,-864508.692619,706865.229662,-864677.397256,179.528047031,-0.00111259726606
9,10.0,1.0,706864.800169,-864600.678995,706860.094984,-864585.911187,706833.244231,-864501.636751,706886.945738,-864670.185623,177.609467412,-0.00110169437022
10,11.0,1.0,706888.635985,-864593.443519,706884.60957,-864579.498804,706860.276117,-864495.224573,706908.943023,-864663.773035,176.029889318,-0.00109159740229
11,12.0,1.0,706912.675124,-864586.855517,706909.285754,-864573.798344,706887.391009,-864489.451257,706931.180499,-864658.145431,174.767045236,-0.00108235756721
12,13.0,1.0,706936.898566,-864580.915559,706934.099364,-864568.799845,706914.579497,-864484.312525,706953.61923,-864653.287165,173.798700596,-0.0010740183327
13,14.0,1.0,706961.287294,-864575.62421,706959.02718,-864564.492894,706941.831992,-864479.804636,706976.222368,-864649.181151,173.102646087,-0.00106661613619
14,15.0,1.0,706985.822288,-864570.982037,706984.046946,-864560.866696,706969.13873,-864475.924373,706998.955162,-864645.809019,172.656692113,-0.00106018102857
15,16.0,1.0,707010.484531,-864566.989609,707009.137373,-864557.910149,706996.48978,-864472.669033,707021.784966,-864643.151265,172.438665136,-0.0010547372412
16,17.0,1.0,707035.255005,-864563.647492,707034.278149,-864555.611912,707023.875048,-864470.036414,707044.681249,-864641.18741,172.426405521,-0.00105030371633
17,18.0,1.0,707060.11469,-864560.956252,707059.424614,-864553.693873,707051.284289,-864468.024811,707067.564939,-864639.362936,172.062288957,-0.00104689451366
