,index of inflection point,index of zero migration
0,1679,1720
1,1798,1841
2,1931,1983
3,2057,2100
4,2175,2227
5,2229,2297
6,2322,2391
7,2398,2453
8,2477,2533
9,2603,2640
10,2692,2734
11,2791,2849
12,3000,3030
13,3356,3397
14,3504,3546
15,3595,3650
16,3697,3747
17,3844,3891
18,3941,3987
19,4031,4079
20,4239,4277
21,4362,4410
22,4441,4487
23,4536,4592
24,4651,4712
25,4757,4808
26,4878,4905
27,4915,4968
28,4951,4994
29,5260,5295
30,5396,5440
31,5487,5545
32,5612,5649
33,5767,5811
34,5845,5892
35,5945,5990
36,6168,6201
37,6449,6467
38,6790,6833
39,7014,7038
40,7306,7370
41,7576,7630
42,7792,7829
43,8029,8017
44,8116,8167
45,8247,8308
46,8420,8469
47,8468,8522
48,8618,8682
49,8841,8886
50,8878,8947
51,8956,9006
52,9229,9266
53,9345,9396
54,9421,9464
55,9692,9741
56,10046,10079
57,10169,10220
58,10302,10356
59,10411,10453
60,10438,10508
61,10593,10641
62,10705,10753
63,10784,10835
64,11060,11089
65,11236,11285
66,11351,11399
67,11599,11642
68,11718,11765
69,11860,11932
70,12200,12244
71,12408,12445
72,12699,12741
73,13036,13062
74,13066,13127
75,13181,13226
76,13337,13365
77,13580,13641
78,13664,13717
79,13887,13935
80,14215,14260
81,14304,14366
82,14470,14511
83,14726,14772
84,14934,14995
85,15204,15269
86,15328,15388
87,15506,15564
88,15659,15725
89,15854,15915
90,16033,16086
91,16252,16313
92,16458,16536
93,16625,16689
94,16764,16824
95,16945,16996
