,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,220949.052955,-841802.097101,220949.434718,-841825.411214,220947.119785,-841684.039389,220951.749652,-841966.783039,280.818993995,0.0
1,2.0,1.0,220974.224298,-841801.684925,220974.593792,-841823.599604,220972.171003,-841679.90402,220977.01658,-841967.295189,285.448964599,3.85896734018e-05
2,3.0,1.0,220999.393156,-841801.248337,220999.765325,-841822.33084,220997.200347,-841677.030642,221002.330303,-841967.631039,288.671277175,2.43580807032e-05
3,4.0,1.0,221024.558436,-841800.796379,221024.925212,-841821.074941,221022.271263,-841674.341809,221027.579162,-841967.808073,291.565924835,1.0119858091e-05
4,5.0,1.0,221049.719041,-841800.338097,221050.073235,-841819.839681,221047.385218,-841671.839928,221052.761252,-841967.839434,294.143793923,-4.13138182429e-06
5,6.0,1.0,221074.873879,-841799.882534,221075.209115,-841818.63288,221072.543268,-841669.527315,221077.874962,-841967.738445,296.415963854,-1.84020690705e-05
6,7.0,1.0,221100.021853,-841799.438737,221100.332517,-841817.462398,221097.74608,-841667.406209,221102.918955,-841967.518586,298.393677892,-3.26985936583e-05
7,8.0,1.0,221125.161871,-841799.015748,221125.443059,-841816.336132,221122.993964,-841665.478786,221127.892153,-841967.193479,300.088318429,-4.70272458419e-05
8,9.0,1.0,221150.292836,-841798.622612,221150.540307,-841815.262013,221148.28689,-841663.747162,221152.793724,-841966.776865,301.511385894,-6.13941205054e-05
9,10.0,1.0,221175.413655,-841798.268374,221175.623788,-841814.248001,221173.624521,-841662.213408,221177.623055,-841966.282594,302.674480607,-7.58050459589e-05
10,11.0,1.0,221200.523233,-841797.962078,221200.69299,-841813.302082,221199.006233,-841660.879554,221202.379747,-841965.72461,303.58928705,-9.02655028717e-05
11,12.0,1.0,221225.620475,-841797.712769,221225.747365,-841812.432263,221224.431142,-841659.747592,221227.063588,-841965.116934,304.267560118,-0.000104780536408
12,13.0,1.0,221250.704288,-841797.529491,221250.786334,-841811.646575,221249.89813,-841658.81949,221251.674537,-841964.473659,304.721113014,-0.000119354673834
13,14.0,1.0,221275.773575,-841797.421288,221275.809289,-841810.953063,221275.405869,-841658.09719,221276.212708,-841963.808936,304.961806517,-0.000133991830845
14,15.0,1.0,221300.827244,-841797.397206,221300.815599,-841810.359792,221300.952847,-841657.582619,221300.678351,-841963.136964,305.001539406,-0.00014869521992
15,16.0,1.0,221325.864199,-841797.466287,221325.804612,-841809.874836,221326.537393,-841657.277689,221325.071831,-841962.471983,304.852239846,-0.000163467257946
16,17.0,1.0,221350.883346,-841797.637578,221350.775659,-841809.506284,221352.157703,-841657.184306,221349.393615,-841961.828262,304.525857622,-0.000178309461941
