,index of inflection point,index of zero migration
0,9,35
1,42,71
2,89,110
3,159,179
4,206,222
5,303,319
6,518,548
7,548,575
8,558,600
9,640,658
10,664,690
11,708,738
12,824,863
13,875,896
14,934,938
15,1042,1056
16,1126,1131
17,1272,1283
18,1331,1359
19,1428,1436
20,1577,1588
21,1638,1656
22,1708,1726
23,1770,1788
24,1848,1871
25,1971,1985
26,2011,2032
27,2066,2084
28,2123,2151
29,2204,2212
30,2276,2295
31,2367,2391
32,2396,2420
33,2442,2451
34,2494,2506
35,2546,2557
36,2617,2635
37,2716,2716
38,2859,2874
39,2895,2922
40,2944,2957
41,3000,3019
42,3050,3080
43,3148,3160
44,3204,3228
45,3251,3261
46,3390,3408
47,3476,3500
48,3583,3589
49,3670,3681
50,3742,3768
51,3815,3835
52,3973,3982
53,4090,4110
54,4169,4192
55,4226,4252
56,4340,4354
57,4391,4410
58,4433,4451
59,4475,4492
60,4600,4618
61,4717,4735
62,4761,4779
63,4806,4809
64,4823,4846
65,4873,4893
66,4938,4965
67,4991,5003
68,5042,5056
69,5127,5145
70,5214,5220
71,5238,5245
72,5255,5260
73,5322,5318
74,5395,5415
75,5509,5537
76,5577,5582
77,5674,5670
78,5777,5789
79,5947,5969
80,6081,6100
81,6132,6135
82,6163,6192
83,6225,6230
84,6293,6304
85,6321,6333
86,6364,6387
87,6436,6463
88,6502,6518
89,6585,6604
90,6646,6664
91,6693,6712
92,6740,6767
93,6760,6783
94,6790,6819
95,6836,6843
96,6931,6949
97,6984,7014
98,7052,7074
99,7097,7114
100,7131,7140
101,7261,7278
102,7345,7361
103,7441,7441
104,7543,7558
105,7595,7643
106,7649,7659
107,7785,7795
108,7814,7837
109,7842,7866
110,7902,7926
111,8047,8071
112,8099,8112
113,8143,8171
114,8273,8281
115,8386,8402
116,8434,8455
117,8519,8536
118,8621,8619
119,8637,8660
120,8680,8699
121,8821,8846
122,8865,8877
123,8889,8908
124,8968,8987
125,9114,9132
126,9183,9210
127,9410,9439
128,9462,9486
129,9514,9540
130,9631,9656
131,9790,9812
132,9962,9981
133,10144,10170
134,10181,10213
135,10218,10243
136,10271,10285
137,10299,10328
138,10344,10388
139,10681,10708
140,10820,10840
141,10897,10921
142,10950,10970
143,10959,10987
144,11020,11033
145,11041,11067
146,11085,11095
147,11192,11206
148,11253,11284
149,11315,11335
150,11334,11363
151,11373,11393
152,11419,11445
153,11512,11522
154,11634,11645
155,11686,11716
156,11742,11760
157,11808,11830
158,11855,11881
159,11885,11907
160,11937,11958
161,12125,12150
162,12232,12247
163,12349,12361
164,12378,12404
165,12439,12454
166,12480,12497
167,12513,12539
168,12569,12575
169,12586,12607
170,12665,12681
171,12698,12721
172,12753,12776
173,12883,12901
174,12931,12939
175,12936,12969
176,13058,13071
177,13100,13117
178,13123,13156
179,13268,13287
180,13380,13401
181,13482,13506
182,13596,13610
183,13708,13737
184,13757,13769
185,13801,13824
186,13855,13878
187,13883,13906
188,13907,13930
189,13962,13973
190,13983,14011
191,14017,14037
192,14105,14130
193,14229,14251
194,14343,14353
195,14368,14414
196,14463,14478
197,14471,14505
198,14534,14564
199,14678,14707
200,15039,15074
201,15083,15105
202,15147,15166
203,15192,15219
204,15310,15351
205,15398,15415
206,15459,15515
207,15569,15596
208,15663,15691
209,15728,15761
210,15804,15831
211,15840,15871
212,15888,15902
213,16034,16050
214,16059,16098
215,16131,16155
216,16293,16309
217,16328,16335
218,16405,16420
219,16582,16606
220,16672,16696
221,16746,16758
222,16867,16887
223,16938,16970
224,17077,17097
225,17151,17163
226,17175,17205
227,17236,17258
228,17297,17330
229,17413,17435
230,17431,17458
231,17492,17509
232,17685,17714
233,17770,17805
234,17895,17915
235,18027,18051
236,18184,18210
237,18297,18326
238,18370,18394
239,18443,18465
240,18465,18497
241,18516,18527
242,18703,18703
243,18735,18768
244,18761,18787
245,18897,18908
246,18914,18941
247,18948,18971
248,19117,19134
249,19195,19212
250,19264,19285
251,19382,19393
252,19410,19450
253,19451,19473
254,19525,19541
255,19621,19641
256,20087,20150
257,20260,20280
258,20480,20446
259,20662,20676
260,20693,20717
261,20706,20726
262,20797,20822
263,20883,20908
264,20995,21017
265,21053,21071
266,21077,21130
267,21149,21179
268,21221,21247
269,21305,21325
270,21356,21388
271,21392,21425
272,21440,21450
273,21462,21485
274,21498,21515
275,21657,21670
276,21736,21784
277,21824,21832
278,21895,21926
279,22068,22101
280,22127,22164
281,22193,22217
