,index of inflection point,index of zero migration
0,50,88
1,159,183
2,271,289
3,348,366
4,419,431
5,444,458
6,466,488
7,531,541
8,573,591
9,622,661
10,727,739
11,830,848
12,853,885
13,884,898
14,932,954
15,959,990
16,991,1044
17,1047,1082
18,1156,1146
19,1210,1220
20,1242,1264
21,1288,1311
22,1330,1346
23,1410,1432
24,1520,1539
25,1565,1613
26,1651,1672
27,1717,1736
28,1772,1785
29,1815,1831
30,1841,1864
31,1943,1959
32,2034,2051
33,2068,2083
34,2107,2123
35,2142,2161
36,2184,2207
37,2298,2321
38,2372,2391
39,2427,2450
40,2481,2511
41,2561,2576
42,2632,2633
43,2655,2674
44,2691,2707
45,2801,2798
46,2860,2877
47,2936,2950
48,3000,3022
49,3032,3065
50,3089,3099
51,3134,3151
52,3142,3172
53,3212,3219
54,3318,3345
55,3396,3420
56,3558,3578
57,3650,3667
58,3721,3744
59,3787,3804
60,3876,3903
61,3980,4004
62,4083,4111
63,4172,4180
64,4242,4261
65,4300,4312
66,4380,4399
67,4430,4457
68,4505,4502
69,4583,4599
70,4650,4671
71,4937,4948
72,5013,5022
73,5087,5100
74,5117,5137
75,5169,5186
76,5227,5235
77,5275,5297
78,5316,5335
79,5340,5361
80,5364,5384
81,5397,5425
82,5730,5738
83,5752,5767
84,5776,5796
85,5838,5852
86,5894,5904
87,5903,5923
88,5952,5965
89,5985,6002
90,6021,6043
91,6066,6082
92,6102,6142
93,6183,6173
94,6347,6360
95,6432,6443
96,6491,6505
97,6591,6603
98,6682,6695
99,6721,6739
100,6754,6766
101,6777,6796
102,6997,7018
103,7098,7117
104,7154,7173
105,7197,7220
106,7250,7271
107,7345,7366
108,7391,7402
109,7417,7437
110,7460,7481
111,7515,7525
112,7566,7579
113,7618,7650
114,7685,7702
115,7759,7773
116,7840,7846
117,7855,7878
118,7884,7896
119,8004,8023
120,8108,8125
121,8193,8204
122,8277,8284
123,8379,8396
124,8460,8471
125,8574,8590
126,8617,8635
127,8665,8687
128,8721,8734
129,8760,8783
130,8800,8823
131,8880,8908
132,8943,8954
133,9053,9059
134,9114,9124
135,9188,9197
136,9257,9255
137,9311,9321
138,9345,9364
139,9403,9414
140,9517,9538
141,9597,9612
142,9645,9671
143,9728,9774
144,9940,9958
145,9978,10001
146,10001,10027
147,10090,10114
148,10322,10349
149,10381,10403
150,10411,10445
151,10469,10499
152,10511,10537
153,10615,10640
154,10791,10819
155,10899,10921
156,10962,10991
157,11081,11098
158,11216,11229
159,11288,11311
160,11312,11345
161,11361,11389
162,11567,11584
163,11723,11739
164,11918,11923
165,11997,12017
166,12139,12134
167,12276,12283
168,12341,12355
169,12374,12410
170,12461,12472
171,12607,12618
172,12680,12697
