,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,310724.820966,-893742.037037,310728.56292,-893747.96393,310701.950207,-893705.811974,310755.175634,-893790.115886,100.701505384,0.0
1,2.0,1.0,310745.750125,-893728.823375,310749.204901,-893733.944756,310723.017043,-893695.123715,310775.392759,-893772.765797,95.1459951823,0.00251356893105
2,3.0,1.0,310765.622516,-893714.513169,310769.891541,-893720.081986,310744.023638,-893686.338074,310795.759445,-893753.825898,87.195349138,0.00249307809715
3,4.0,1.0,310784.449335,-893699.156766,310789.548942,-893705.04613,310764.069273,-893675.620518,310815.028611,-893734.471742,80.3555562272,0.0024541864752
4,5.0,1.0,310802.241779,-893682.804511,310807.9164,-893688.632876,310782.576593,-893662.60653,310833.256206,-893714.659222,75.3039954579,0.00239956268742
5,6.0,1.0,310819.011041,-893665.50675,310825.015488,-893671.009712,310799.545682,-893647.667114,310850.485294,-893694.352309,71.7647706472,0.00233224455601
6,7.0,1.0,310834.768319,-893647.313829,310840.865175,-893652.310734,310814.982381,-893631.097528,310866.74797,-893673.52394,69.5201152753,0.00225538776422
7,8.0,1.0,310849.524808,-893628.276095,310855.474635,-893632.642173,310828.881666,-893613.127825,310882.067604,-893652.156521,68.4152617812,0.00217205260671
8,9.0,1.0,310863.291704,-893608.443892,310868.847849,-893612.095241,310841.234542,-893593.948521,310896.461156,-893630.241961,68.3353483762,0.00208504543124
9,10.0,1.0,310876.080201,-893587.867568,310880.995942,-893590.758505,310852.050589,-893573.735804,310909.941295,-893607.781205,69.1704329615,0.00199681879995
10,11.0,1.0,310887.901497,-893566.597468,310891.948576,-893568.723607,310861.379016,-893552.663843,310922.518136,-893584.783371,70.7896947629,0.00190942496249
11,12.0,1.0,310898.766786,-893544.683937,310901.758521,-893546.083877,310869.316575,-893530.903135,310934.200467,-893561.264618,73.0343090887,0.00182451187844
12,13.0,1.0,310908.687264,-893522.177323,310910.811921,-893523.059131,310876.627392,-893508.871339,310944.996451,-893537.246923,75.0385340113,0.00174334922488
13,14.0,1.0,310917.674128,-893499.12797,310918.9104,-893499.580419,310882.906938,-893486.403951,310954.913862,-893512.756886,77.2754105858,0.00166687261554
14,15.0,1.0,310925.738571,-893475.586226,310926.119774,-893475.708287,310888.279604,-893463.591874,310963.959943,-893487.824699,79.6207107313,0.00159573644038
15,16.0,1.0,310932.891792,-893451.602435,310932.537685,-893451.504267,310892.934335,-893440.52522,310972.141034,-893462.483314,81.8939978794,0.00153036830264
