,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,214315.289905,-779043.291562,214312.667269,-779040.43644,214271.696265,-778995.833524,214353.638273,-779085.039356,113.033115583,0.0
1,2.0,1.0,214335.019926,-779025.16811,214331.591616,-779021.649997,214298.578582,-778987.772206,214364.60465,-779055.527789,89.2857656278,0.00232367035324
2,3.0,1.0,214353.23301,-779006.316985,214350.406864,-779003.739277,214314.812549,-778971.273945,214386.001178,-779036.204609,92.7362109076,0.00228845338418
3,4.0,1.0,214370.028184,-778986.785785,214365.132414,-778982.805581,214324.412956,-778949.70114,214405.851872,-779015.910021,102.581132021,0.0022153682244
4,5.0,1.0,214385.504481,-778966.622105,214379.459467,-778962.228925,214334.687987,-778929.691502,214424.230948,-778994.766348,109.43296761,0.00210906085111
5,6.0,1.0,214399.760928,-778945.873543,214393.426012,-778941.745342,214345.635731,-778910.602405,214441.216294,-778972.888279,113.693238065,0.00197557359988
6,7.0,1.0,214412.896555,-778924.587695,214407.039598,-778921.153411,214357.189919,-778891.923561,214456.889277,-778950.38326,115.764231589,0.00182146050514
7,8.0,1.0,214425.010393,-778902.81216,214420.281144,-778900.306889,214369.227736,-778873.261884,214471.334551,-778927.351895,116.048504394,0.00165302381418
8,9.0,1.0,214436.201471,-778880.594532,214433.10866,-778879.107214,214381.577459,-778854.32609,214484.63986,-778903.888337,114.948672258,0.00147577442168
9,10.0,1.0,214446.568818,-778857.982411,214445.460945,-778857.495951,214394.026038,-778834.911216,214496.895852,-778880.080687,112.867280948,0.0012941374836
10,11.0,1.0,214456.211464,-778835.023392,214457.261283,-778835.447242,214406.326683,-778814.883091,214508.195883,-778856.011393,110.206691152,0.00111136711599
11,12.0,1.0,214465.228439,-778811.765072,214468.42114,-778812.960231,214418.206453,-778794.162814,214518.635826,-778831.757647,107.368966973,0.000929608454982
12,13.0,1.0,214473.718773,-778788.255049,214478.843843,-778790.051493,214429.373799,-778772.711207,214528.313886,-778807.39178,104.755807959,0.000750044707655
13,14.0,1.0,214481.781494,-778764.540919,214488.430349,-778766.748159,214439.530295,-778750.514659,214537.330403,-778782.981659,102.764086201,0.000573079913605
14,15.0,1.0,214489.515634,-778740.670279,214497.173923,-778743.109194,214448.560178,-778727.627302,214545.787668,-778758.591087,101.595713392,0.000398525358463
15,16.0,1.0,214497.020221,-778716.690726,214505.198483,-778719.224679,214456.607237,-778704.169164,214553.789728,-778734.280194,101.188710734,0.000225773104781
16,17.0,1.0,214504.394284,-778692.649857,214512.643247,-778695.173941,214463.844287,-778680.242043,214561.442207,-778710.105839,101.462722913,5.39518123274e-05
17,18.0,1.0,214511.736855,-778668.595269,214519.653039,-778671.024478,214470.453969,-778655.926953,214568.85211,-778686.122003,102.337525509,-0.000117932340092
18,19.0,1.0,214519.146962,-778644.574559,214526.377482,-778646.833991,214476.627327,-778631.287797,214576.127638,-778662.380186,103.732720178,-0.000290862494828
19,20.0,1.0,214526.723635,-778620.635324,214532.970137,-778622.652406,214482.562268,-778606.375008,214583.378006,-778638.929805,105.567547655,-0.000465676721627
20,21.0,1.0,214534.565904,-778596.825161,214539.587782,-778598.523423,214488.459866,-778581.233356,214590.715698,-778615.813491,107.760844903,-0.000635290974381
21,22.0,1.0,214542.768487,-778573.189597,214546.391432,-778574.482239,214494.493757,-778555.965513,214598.289106,-778592.998964,110.231073396,-0.000696697891967
22,23.0,1.0,214551.364003,-778549.744358,214553.540304,-778550.56303,214500.811657,-778530.727769,214606.268952,-778570.398291,112.892876159,-0.000675094917232
23,24.0,1.0,214560.338471,-778526.4828,214561.152905,-778526.804604,214507.580157,-778505.636596,214614.725653,-778547.972611,115.591491209,-0.000650631333055
24,25.0,1.0,214569.676776,-778503.397738,214569.310068,-778503.246073,214514.981209,-778480.776368,214623.638927,-778525.715777,118.104133468,-0.000625437092823
25,26.0,1.0,214579.363804,-778480.481989,214578.079177,-778479.927635,214523.172885,-778456.233971,214632.985468,-778503.621298,120.225632328,-0.000599631155743
26,27.0,1.0,214589.384441,-778457.728366,214587.447808,-778456.858964,214532.153331,-778432.03591,214642.742286,-778481.682018,121.922090705,-0.000573323783623
27,28.0,1.0,214599.723571,-778435.129685,214597.365311,-778434.031336,214541.84394,-778408.172519,214652.886683,-778459.890153,123.244965246,-0.000546615893466
28,29.0,1.0,214610.366082,-778412.67876,214607.781959,-778411.433307,214552.167683,-778384.629274,214663.396235,-778438.237341,124.246398258,-0.000519598655685
29,30.0,1.0,214621.29686,-778390.368407,214618.649154,-778389.051038,214563.049535,-778361.387397,214674.248772,-778416.714678,124.978573405,-0.000492353337918
30,31.0,1.0,214632.500789,-778368.19144,214629.919337,-778366.868493,214574.416318,-778338.42422,214685.422356,-778395.312766,125.493702945,-0.000464951331819
31,32.0,1.0,214643.962756,-778346.140674,214641.545899,-778344.867646,214586.196534,-778315.713541,214696.895263,-778374.021751,125.844020022,-0.000437454355776
32,33.0,1.0,214655.667647,-778324.208925,214653.483086,-778323.028679,214598.320209,-778293.225985,214708.645964,-778352.831373,126.081773942,-0.000409914784422
33,34.0,1.0,214667.600347,-778302.389007,214665.68591,-778301.330186,214610.718716,-778270.929368,214720.653104,-778331.731003,126.259227149,-0.00038237608312
34,35.0,1.0,214679.745743,-778280.673736,214678.11005,-778279.749373,214623.324618,-778248.789054,214732.895482,-778310.709693,126.428653016,-0.000354873323055
35,36.0,1.0,214692.08872,-778259.055925,214690.711763,-778258.262265,214636.071491,-778226.768317,214745.352035,-778289.756213,126.642333865,-0.000327433748824
36,37.0,1.0,214704.614163,-778237.528391,214703.451786,-778236.846246,214648.901757,-778204.833389,214758.001816,-778268.859103,126.94326078,-0.000300077379314
