,index of inflection point,index of zero migration
0,76,90
1,139,145
2,179,190
3,202,223
4,245,255
5,318,342
6,367,381
7,460,470
8,544,577
9,617,634
10,685,694
11,733,723
12,756,769
13,769,791
14,807,835
15,852,853
16,865,877
17,924,940
18,1006,1023
19,1050,1072
20,1098,1130
21,1150,1162
22,1173,1191
23,1222,1225
24,1259,1297
25,1303,1319
26,1399,1419
27,1527,1547
28,1663,1675
29,1763,1781
30,1808,1825
31,1837,1858
32,1890,1906
33,1930,1948
34,1965,1985
35,2005,2015
36,2034,2058
37,2082,2096
38,2118,2135
39,2161,2176
40,2212,2228
41,2271,2288
42,2355,2369
43,2419,2428
44,2466,2477
45,2495,2514
46,2536,2552
47,2661,2674
48,2749,2761
49,2793,2805
50,2817,2836
51,2856,2876
52,2929,2947
53,2984,2999
54,3026,3042
55,3089,3093
56,3162,3166
57,3257,3272
58,3319,3371
59,3422,3433
60,3501,3512
61,3627,3640
62,3659,3673
63,3681,3697
64,3733,3748
65,3813,3829
66,4026,4049
67,4064,4073
68,4108,4113
69,4187,4179
70,4213,4232
71,4278,4292
72,4380,4431
73,4480,4509
74,4535,4563
75,4608,4620
76,4638,4645
77,4679,4691
78,4801,4812
79,4864,4882
80,4934,4954
81,4977,4973
82,5005,5016
83,5094,5113
84,5162,5178
85,5195,5211
86,5230,5246
87,5268,5277
88,5385,5396
89,5449,5458
90,5480,5500
91,5546,5562
92,5579,5592
93,5616,5627
94,5668,5684
95,5683,5688
96,5719,5763
97,5762,5772
98,5820,5836
99,5878,5886
100,5925,5935
101,5989,5974
102,6053,6068
103,6107,6124
104,6137,6153
105,6184,6197
106,6323,6333
107,6393,6407
108,6431,6449
109,6469,6480
110,6520,6533
111,6562,6575
112,6608,6626
113,6653,6667
114,6727,6744
115,6775,6787
116,6790,6794
117,7034,7050
118,7089,7105
119,7146,7164
120,7187,7200
121,7250,7272
122,7378,7392
123,7409,7417
124,7453,7464
125,7540,7556
126,7658,7672
127,7712,7728
128,7737,7752
129,7775,7791
130,7829,7838
131,7851,7870
132,7895,7909
133,7936,7950
134,7965,7986
135,7999,8013
136,8038,8050
137,8108,8121
138,8151,8171
139,8200,8217
140,8290,8303
141,8336,8350
142,8355,8372
143,8393,8410
144,8452,8469
145,8502,8512
146,8519,8528
147,8549,8569
148,8597,8611
149,8639,8656
150,8702,8680
151,8740,8763
152,8805,8822
153,8902,8914
154,8918,8936
155,8961,8981
156,9050,9037
157,9063,9070
158,9113,9131
159,9155,9176
160,9245,9265
161,9328,9342
162,9395,9384
163,9429,9443
164,9477,9489
165,9582,9595
166,9659,9669
167,9695,9709
168,9723,9739
169,9778,9794
170,9838,9851
171,9870,9893
172,9919,9931
173,10025,10064
174,10182,10225
175,10240,10232
176,10252,10276
177,10396,10421
178,10549,10556
179,10621,10636
180,10677,10694
181,10808,10826
182,10867,10886
183,10886,10900
184,10917,10953
185,10959,10988
186,10973,11004
187,11107,11125
188,11249,11257
189,11270,11286
190,11297,11316
191,11391,11402
192,11432,11447
193,11491,11508
194,11692,11696
195,11730,11762
196,11802,11845
197,12077,12084
198,12123,12118
199,12247,12267
200,12298,12318
201,12353,12385
202,12467,12492
203,12539,12562
204,12622,12643
205,12663,12694
206,12710,12726
207,12770,12791
208,12823,12836
209,12979,12994
210,13030,13048
211,13066,13096
212,13144,13154
213,13168,13187
214,13205,13213
215,13338,13363
216,13413,13432
217,13481,13502
218,13545,13562
219,13706,13721
220,13804,13816
221,13861,13881
222,13950,13969
223,14070,14086
224,14093,14134
225,14141,14157
226,14257,14301
227,14302,14315
228,14472,14489
229,14554,14586
230,14642,14672
231,14698,14736
232,14856,14909
233,14919,14929
234,14933,14966
235,15044,15053
236,15264,15237
237,15416,15438
238,15454,15489
239,15540,15564
240,15612,15646
241,15710,15741
242,15901,15910
243,15986,16032
244,16100,16130
245,16217,16231
246,16431,16445
247,16506,16539
248,16546,16564
249,16696,16724
250,16793,16819
251,16835,16875
252,16895,16928
253,17014,17047
254,17214,17138
255,17390,17409
256,17508,17530
257,17527,17560
258,17638,17666
259,17730,17749
260,17761,17786
261,17847,17868
262,17987,17984
263,18126,18144
264,18148,18181
265,18188,18239
266,18238,18279
267,18488,18516
268,18598,18617
269,18823,18844
270,18886,18927
271,18959,18974
272,19103,19151
273,19183,19190
274,19371,19441
275,19477,19481
276,19598,19636
