,index of inflection point,index of zero migration
0,7,12
1,28,39
2,67,82
3,151,164
4,250,256
5,264,272
6,285,298
7,328,354
8,403,421
9,450,462
10,469,484
11,566,585
12,623,632
13,680,701
14,755,771
15,897,932
16,995,1014
17,1095,1113
18,1158,1177
19,1232,1240
20,1308,1317
21,1334,1348
22,1369,1386
23,1405,1438
24,1497,1511
25,1598,1617
26,1660,1674
27,1703,1751
28,1752,1779
29,1838,1854
30,1903,1921
31,1975,1985
32,2039,2056
33,2131,2148
34,2167,2182
35,2185,2203
36,2243,2257
37,2292,2306
38,2328,2343
39,2356,2371
40,2389,2410
41,2726,2741
42,2792,2805
43,2821,2828
44,2840,2851
45,2861,2884
46,2905,2917
47,3007,3025
48,3109,3124
49,3143,3170
50,3189,3208
51,3241,3254
52,3258,3271
53,3304,3321
54,3361,3371
55,3586,3616
56,3645,3665
57,3765,3781
58,3835,3851
59,3919,3927
60,4101,4116
61,4206,4204
62,4320,4336
63,4425,4439
64,4493,4505
65,4541,4553
66,4625,4638
67,4739,4746
68,4819,4840
69,4868,4884
70,4954,4969
71,5018,5019
72,5074,5086
73,5091,5099
74,5143,5166
75,5208,5217
76,5231,5248
77,5283,5303
78,5418,5437
79,5471,5484
80,5490,5514
81,5534,5550
82,5613,5631
83,5686,5717
84,5753,5769
85,5793,5819
86,5838,5856
87,5875,5894
88,5911,5922
89,5946,5962
90,6007,6028
91,6127,6135
92,6184,6201
93,6221,6241
94,6254,6283
95,6293,6323
96,6374,6388
97,6420,6436
98,6478,6498
99,6533,6537
100,6588,6615
101,6649,6664
102,6760,6774
103,6864,6877
104,6964,6992
105,7041,7063
106,7145,7151
107,7171,7187
108,7206,7232
109,7257,7262
110,7267,7291
111,7305,7315
112,7403,7421
113,7448,7459
114,7456,7471
115,7491,7505
116,7589,7598
117,7677,7686
118,7740,7790
119,7820,7814
120,7893,7938
121,7947,7963
122,7989,8006
123,8019,8045
124,8066,8081
125,8109,8118
126,8138,8153
127,8202,8215
128,8351,8362
129,8438,8452
130,8541,8547
131,8671,8685
132,8724,8742
133,8763,8777
134,8853,8866
135,8901,8914
