,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,99061.3702049,-557281.268591,99071.1164368,-557354.430239,99058.4794693,-557259.568823,99083.7534044,-557449.291654,203.9695159,0.0
1,2.0,1.0,99084.6240267,-557278.170832,99095.722517,-557340.077996,99080.6097991,-557255.779548,99110.8352349,-557424.376444,182.013349898,0.00375457514124
2,3.0,1.0,99107.684636,-557272.965509,99120.599649,-557321.431282,99100.2502251,-557245.066623,99140.9490729,-557397.795941,166.174505412,0.00314294629153
3,4.0,1.0,99130.5785242,-557265.925016,99142.9213553,-557301.940653,99119.2533696,-557232.878899,99166.5893409,-557371.002407,151.293463413,0.00255408686696
4,5.0,1.0,99153.3321825,-557257.32175,99163.5024458,-557282.280759,99137.9161838,-557219.489094,99189.0887078,-557345.072424,138.327199561,0.00201155196838
5,6.0,1.0,99175.9721021,-557247.428103,99183.3528297,-557263.460296,99156.5141939,-557205.162225,99210.1914655,-557321.758368,128.999177143,0.00152044324931
6,7.0,1.0,99198.5247743,-557236.516473,99203.0866591,-557245.621421,99175.2995305,-557190.161806,99230.8737877,-557301.081037,123.121595673,0.00107501596416
7,8.0,1.0,99221.0166903,-557224.859253,99223.0111509,-557228.628024,99194.4996634,-557174.752172,99251.5226384,-557282.503875,119.858443034,0.000664051658174
8,9.0,1.0,99243.4743416,-557212.728839,99242.8181504,-557211.52418,99214.3163238,-557159.199509,99271.3199771,-557263.848851,116.516478694,0.000273969951453
9,10.0,1.0,99265.9242192,-557200.397626,99263.2285399,-557195.473604,99234.9244593,-557143.772378,99291.5326205,-557247.174829,115.100140606,-0.000109617225641
10,11.0,1.0,99288.3928145,-557188.138008,99284.365343,-557180.644172,99256.4711721,-557128.742038,99312.2595139,-557232.546305,115.383203311,-0.000501164140798
11,12.0,1.0,99310.9066188,-557176.222382,99306.2409683,-557167.158466,99279.0746208,-557114.382653,99333.4073159,-557219.934279,117.021335016,-0.000914627192507
12,13.0,1.0,99333.4921232,-557164.923141,99328.8042985,-557155.14806,99302.8228824,-557100.971452,99354.7857146,-557209.324668,119.676529611,-0.00136248607224
13,14.0,1.0,99356.1758192,-557154.512681,99351.9571774,-557144.750867,99327.7727754,-557088.788865,99376.1415795,-557200.71287,123.01483921,-0.00185370149484
14,15.0,1.0,99378.9841979,-557145.263398,99375.5064612,-557135.936187,99353.9486481,-557078.118625,99397.0642743,-557193.753749,126.327671688,-0.00238991557568
15,16.0,1.0,99401.9437506,-557137.447685,99399.1322028,-557128.140755,99381.3411414,-557069.247872,99416.9232642,-557187.033638,127.759237768,-0.00295950121923
16,17.0,1.0,99425.0809686,-557131.337938,99423.1092195,-557122.389306,99409.9059368,-557062.467225,99436.3125021,-557182.311387,128.924043391,-0.00353035312316
17,18.0,1.0,99448.4223431,-557127.206552,99447.5461535,-557120.369406,99439.9511956,-557061.103882,99455.1411114,-557179.63493,126.329636877,-0.00404517720927
18,19.0,1.0,99471.9943655,-557125.325922,99471.8605554,-557120.486123,99470.2428047,-557061.973415,99473.4783061,-557178.998832,123.442512734,-0.00430160232966
19,20.0,1.0,99495.8231188,-557125.896022,99496.0482086,-557122.675908,99500.0735759,-557065.089381,99492.0228414,-557180.262436,120.127493462,-0.00367419244323
20,21.0,1.0,99519.9322069,-557128.676834,99520.247092,-557126.602926,99528.8438407,-557069.982678,99511.6503433,-557183.223173,116.69181033,-0.00278522895085
21,22.0,1.0,99544.3443024,-557133.263076,99544.6324586,-557131.923463,99556.6255204,-557076.168759,99532.6393968,-557187.678167,113.438154126,-0.00198209992575
22,23.0,1.0,99569.0820759,-557139.249169,99569.3288741,-557138.300842,99583.6785364,-557083.161963,99554.9792118,-557193.439722,110.667538803,-0.00127499959626
23,24.0,1.0,99594.1681985,-557146.229536,99594.4042543,-557145.409502,99610.2173429,-557090.476409,99578.5911656,-557200.342595,108.685287284,-0.000650086098756
24,25.0,1.0,99619.625341,-557153.798598,99619.8820541,-557152.938669,99636.3934987,-557097.629165,99603.3706096,-557208.248172,107.811700004,-7.99589237093e-05
25,26.0,1.0,99645.4701476,-557161.544613,99645.7465094,-557160.59638,99662.1718358,-557104.238981,99629.3211831,-557216.95378,108.396125921,0.000553220742654
26,27.0,1.0,99671.61742,-557168.951655,99671.839832,-557168.111109,99687.2152631,-557110.00386,99656.4644009,-557226.218359,110.834628066,0.00129166840813
27,28.0,1.0,99697.8971285,-557175.41702,99697.9424382,-557175.207982,99711.0940229,-557114.532537,99684.7908535,-557235.883428,115.529948958,0.00212310868985
28,29.0,1.0,99724.1366553,-557180.335357,99723.966546,-557181.492389,99733.3937779,-557117.371177,99714.5393141,-557245.613602,122.681860758,0.00309155231777
29,30.0,1.0,99750.1633823,-557183.101312,99749.995182,-557186.23398,99753.6550427,-557118.07041,99746.3353213,-557254.39755,131.925992978,0.0041942310001
30,31.0,1.0,99775.8046915,-557183.109534,99776.1602789,-557188.537811,99771.4161695,-557116.115852,99780.9043884,-557260.95977,142.87373268,0.00530310895565
31,32.0,1.0,99800.8528671,-557179.780821,99802.8641544,-557189.402515,99786.903974,-557113.051421,99818.8243347,-557265.75361,156.477389642,0.00616100588449
32,33.0,1.0,99824.5983828,-557172.909862,99828.5798306,-557183.344301,99800.6328195,-557110.101754,99856.5268416,-557256.586847,162.385356562,0.00739102102703
33,34.0,1.0,99845.9570245,-557162.570518,99851.4753474,-557171.5674,99811.0952037,-557105.733015,99891.855491,-557237.401786,167.78561772,0.00946013373647
34,35.0,1.0,99863.8355873,-557148.843351,99871.5472881,-557156.660913,99819.3158222,-557103.71245,99923.778754,-557209.609375,169.794427269,0.012071756495
35,36.0,1.0,99877.140888,-557131.808928,99886.5344521,-557137.214634,99823.4530014,-557100.913208,99949.6159028,-557173.516061,169.80641183,0.0127791576882
36,37.0,1.0,99885.2137121,-557111.694312,99895.8963746,-557114.656502,99827.6225913,-557095.724899,99964.1701579,-557133.588105,160.417787156,0.00901576059725
37,38.0,1.0,99888.9423243,-557089.248945,99898.3007624,-557090.126343,99830.9951117,-557083.816119,99965.6064131,-557096.436566,145.194051481,0.00550259746935
38,39.0,1.0,99889.5597741,-557065.338659,99895.9986659,-557065.252921,99833.9701812,-557066.078866,99958.0271506,-557064.426977,128.103036747,0.00306511582189
