,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1.0,1.0,173459.929874,-574286.173794,173460.059737,-574286.174965,173405.875011,-574285.686293,173514.244464,-574286.663638,111.493704697,0.0
1,2.0,1.0,173460.149023,-574261.874339,173460.615538,-574261.874796,173416.512553,-574261.831584,173504.718523,-574261.918007,90.4748738528,0.000651689213794
2,3.0,1.0,173459.977635,-574237.427681,173459.802335,-574237.430322,173416.235339,-574238.086867,173503.369332,-574236.773778,88.8735276258,0.000650249521762
3,4.0,1.0,173459.410282,-574212.852996,173458.632864,-574212.877239,173415.482369,-574214.222872,173501.783358,-574211.531606,87.6005946263,0.000650290589173
4,5.0,1.0,173458.441535,-574188.16946,173457.110185,-574188.232568,173414.270344,-574190.263237,173499.950026,-574186.201898,86.6208211613,0.000651761413516
5,6.0,1.0,173457.065962,-574163.396248,173455.235442,-574163.512955,173412.613046,-574166.230408,173497.857838,-574160.795503,85.9029397905,0.000654620160491
6,7.0,1.0,173455.278136,-574138.552536,173453.007907,-574138.734804,173410.521252,-574142.145897,173495.494562,-574135.323711,85.419629775,0.000658833093948
7,8.0,1.0,173453.072626,-574113.657499,173450.425111,-574113.914382,173408.002822,-574118.030517,173492.8474,-574109.798246,85.1473252507,0.000664373598015
8,9.0,1.0,173450.444003,-574088.730314,173447.48302,-574089.06792,173405.062905,-574093.90459,173489.903135,-574084.231251,85.0659197018,0.000671221265913
9,10.0,1.0,173447.386836,-574063.790155,173444.176238,-574064.211696,173401.704236,-574069.788129,173486.648239,-574058.635263,85.1584052851,0.000679361029923
10,11.0,1.0,173443.895697,-574038.856199,173440.498202,-574039.362094,173397.927456,-574045.700987,173483.068949,-574033.023202,85.4104761494,0.000688782312304
11,12.0,1.0,173439.965155,-574013.94762,173436.441384,-574014.535657,173393.731454,-574021.662972,173479.151314,-574007.408342,85.8101175124,0.000699478180143
12,13.0,1.0,173435.589782,-573989.083594,173431.997456,-573989.749123,173389.113706,-573997.693936,173474.881206,-573981.80431,86.3471969554,0.000711444478064
13,14.0,1.0,173430.764147,-573964.283298,173427.157453,-573965.019453,173384.070592,-573973.81383,173470.244314,-573956.225076,87.013070688,0.000724678922517
14,15.0,1.0,173425.482821,-573939.565906,173421.911907,-573940.363854,173378.597687,-573950.04275,173465.226127,-573930.684958,87.8002148022,0.000739180140085
15,16.0,1.0,173419.740375,-573914.950594,173416.250968,-573915.799789,173372.690031,-573926.400946,173459.811905,-573905.198633,88.7018892972,0.000754946624217
16,17.0,1.0,173413.531377,-573890.456538,173410.164509,-573891.344991,173366.342355,-573902.908824,173453.986662,-573879.781157,89.7118406355,0.000771975598568
17,18.0,1.0,173406.8504,-573866.102913,173403.93212,-573866.93482,173360.129093,-573879.421648,173447.735148,-573854.447993,90.226887938,0.00079026176515
18,19.0,1.0,173399.692013,-573841.908895,173397.277328,-573842.650172,173353.512809,-573856.085309,173441.041848,-573829.215035,90.7803298784,0.000809795921232
19,20.0,1.0,173392.050787,-573817.89366,173390.179482,-573818.510642,173346.467969,-573832.92264,173433.890996,-573804.098644,91.3845223813,0.000830563432696
20,21.0,1.0,173383.921292,-573794.076382,173382.623853,-573794.53477,173338.981108,-573809.953857,173426.266598,-573779.115684,92.0394735707,0.000852542551542
21,22.0,1.0,173375.298099,-573770.476238,173374.595741,-573770.741627,173331.039005,-573787.199702,173418.152476,-573754.283551,92.7449859894,0.000875702573499
22,23.0,1.0,173366.175777,-573747.112403,173366.080567,-573747.150816,173322.628821,-573764.681421,173409.532314,-573729.620211,93.500546228,0.000900001837057
23,24.0,1.0,173356.548898,-573724.004053,173357.063976,-573723.782473,173313.738227,-573742.42072,173400.389725,-573705.144225,94.3052356352,0.000925385573462
24,25.0,1.0,173346.412031,-573701.170364,173347.531914,-573700.657258,173304.355511,-573720.439728,173390.708317,-573680.874789,95.157661771,0.000951783633839
25,26.0,1.0,173335.759748,-573678.63051,173337.684004,-573677.692364,173294.469657,-573698.760951,173380.898352,-573656.623777,96.5323597034,0.000979108128473
26,27.0,1.0,173324.586617,-573656.403668,173326.827027,-573655.242242,173284.0704,-573677.407232,173369.583655,-573633.077252,96.9065655077,0.00100725103295
27,28.0,1.0,173312.887211,-573634.509013,173315.410365,-573633.118975,173273.148262,-573656.401706,173357.672468,-573609.836243,97.293047911,0.00103608184243
28,29.0,1.0,173300.656098,-573612.96572,173303.422955,-573611.346431,173261.694552,-573635.767778,173345.151358,-573586.925084,97.6878863464,0.00106544536951
29,30.0,1.0,173287.88785,-573591.792966,173290.854423,-573589.948991,173249.701341,-573615.529099,173332.007504,-573564.368884,98.0867646008,0.00109515981226
30,31.0,1.0,173274.577037,-573571.009926,173277.695092,-573568.951565,173237.161417,-573595.709576,173318.228767,-573542.193553,98.4850364243,0.00112501524269
31,32.0,1.0,173260.718229,-573550.635775,173263.935982,-573548.379607,173224.068211,-573576.333395,173303.803754,-573520.425819,98.8778208808,0.00115477268857
32,33.0,1.0,173246.305997,-573530.689689,173249.568801,-573528.259161,173210.415712,-573557.425081,173288.721889,-573499.093242,99.2601268854,0.0011841639948
33,34.0,1.0,173231.334911,-573511.190844,173234.585926,-573508.61691,173196.198371,-573539.009578,173272.973481,-573478.224241,99.6270050212,0.00121289267035
34,35.0,1.0,173215.799541,-573492.158415,173219.241256,-573489.260609,173181.932724,-573520.673112,173256.549787,-573457.848106,99.279561576,0.00124063591054
35,36.0,1.0,173199.694458,-573473.611577,173203.314735,-573470.367646,173167.186383,-573502.740276,173239.443086,-573437.995016,98.7412680542,0.00126704796456
36,37.0,1.0,173183.014231,-573455.569507,173186.728934,-573452.023947,173151.811124,-573485.351835,173221.646745,-573418.696059,98.1935235229,0.00129176498973
37,38.0,1.0,173165.753433,-573438.05138,173169.477111,-573434.261368,173135.798935,-573468.53949,173203.155287,-573399.983247,97.6373276268,0.00131441144716
38,39.0,1.0,173147.906632,-573421.076371,173151.553686,-573417.112834,173119.142914,-573452.336139,173183.964459,-573381.889529,97.0739229381,0.00133460802064
